Question ID,Description,Topic,Correct Answer,Options
1873,"In frogs, the cloaca is used to pass",structural organisation in animals ,All of the them,"Sperms, Urine, Fecal matter, All of the them"
1874,"In a frog, if a hole is punched in the floor of its buccal cavity, then the frog will not die as",structural organisation in animals ,pulmonary respiratory occurs,"buccal respiration does not stop, respiration other than lungs will continue, it can store oxygen for future use, pulmonary respiratory occurs"
1875,Identify the incorrect statement about frog.,structural organisation in animals ,There are ten cranial nerves only,"Parathyroid and pineal body are present, Optic lobes are situated in the mid brain, There are ten cranial nerves only, The ventricle opens into the conus arteriousus"
1876,In frog mesorchium is a thin fold of membrane extending between,structural organisation in animals ,kidneys and testes,"two testes, kidneys and testes, two kidneys, liver and kidneys"
1877,Frog's heart is,structural organisation in animals ,myogenic and 3 chambered,"neurogenic and 4 chambered, myogenic and 2 chambered, neurogenic and 3 chambered, myogenic and 3 chambered"
1878,"Vasa efferentia in male frog, enter the kidney and open into",structural organisation in animals ,Bidder's canal,"Bidder's canal, Ureter, Vacuole, Urinogenital duct"
1879,Incorrect options from the following with respect to frog.,structural organisation in animals ,The outer covering of kidney is called mesorchium,"Frogs are devoid of internal ear, Vasa efferentia enters into bidder's canal, A mature female frog can lay 2500 to 3000 ova at a time, The outer covering of kidney is called mesorchium"
1880,The ability to change colour and hide from the enemies in frog is called,structural organisation in animals ,Camouflage,"Ammensalism, Camouflage, Aestivation, Moulting"
1881,Special venous connection between kidney and lower parts of body in a  frog is called,structural organisation in animals ,Renal portal system,"Hepatic portal system, Renal portal system, Atrial hepatic system, Both (a) and (b)"
1882,Through which of the following structure the medulla oblongata passes out and continues into spinal cord ?,structural organisation in animals ,Foramen magnum,"Formenovale, Fossa ovalis, Foramen magnum, None of these"
1883,"The figure given here shows a diagrammatic representation of internal organs of the frog digestive system. Identify A to D and select the correct option. 
 
A, B, C,D",structural organisation in animals ,"Gall bladder, Lung, Fat bodies, Kidney","Gall bladder, Liver, Testis, Rectum, Gall bladder, Lung, Fat bodies, Kidney, Pancreas, Lungs, Testis, Liver, Liver, Pancreas, Fat bodies, Gall bladder"
1884,"In the given diagram of areolar connective tissue, the different cells and parts have been marked by alphabets (A, B, C& D). Choose the answer in which these alphabets correctly match with the parts and",structural organisation in animals ,"A-Macrophage, B-Fibroblast, C-Collagen fibres,  D-Mast cells","A-Adipocyte, B-Collagen fibres, C-Microfilament, D-Mast cells, A-Macrophage, B-Collagen fibres, C-Microfilament, D-Mast cells, A-Macrophage, B-Collagen fibres, C-Microtubule, D-RBC, A-Macrophage, B-Fibroblast, C-Collagen fibres,  D-Mast cells"
1895,Which of the following statements is incorrect for simple epithelium?,structural organisation in animals ,They are vascularized,"They are derived from any of the embryonic germ layers, They are vascularized, The cells have a rapid rate of cell division, Cemented to one another to form a single layer"
1896,The main function of simple cuboidal epithelium is :,structural organisation in animals ,Secretion and absorption,"Diffusion, Secretion and absorption, Protection, Diffusion and protection"
1897,Epithelial cells of the intestine involved in food absorption have on their surface :,structural organisation in animals ,Micro-villi,"Pinocytic vesicles, Phagocytic vesicles, Zymogen granules, Micro-villi"
1898,Brush border epithelium occurs in :,structural organisation in animals ,Small intestine,"Trachea, Stomach, Small intestine, Oesophagus"
1899,"The tissue which has power of division and regeneration, throughout life, is :",structural organisation in animals ,Epithelial tissue,"Epithelial tissue, Muscular tissue, Connective tissue, Nervous tissue"
1900,Gland which is both exocrine and endocrine is :,structural organisation in animals ,Heterocrine glands,"Tubular glands, Saccular glands, Apocrine glands, Heterocrine glands"
1901,"This epithelium is made up of a single thin layer of flattened cells and is involved in diffusion, it is found in:",structural organisation in animals ,Walls of blood vessels,"Walls of blood vessels, Ducts of glands, Tubular parts of nephrons, All of these"
1902,"Exoskeleton (e.g. feathers, nails, horns, hooves) originated from :",structural organisation in animals ,Epithelium tissue,"Connective tissue proper, Epithelium tissue, Skeletal tissue, Vascular tissue"
1903,Trachea consist of which epithelium ?,structural organisation in animals ,Simple ciliated,"Simple columnar, Simple ciliated, Simple cuboidal, Stratified cuboidal"
1904,Characteristic of simple epithelium is :,structural organisation in animals ,They make a definite layer,"They are arranged irregularly, They make a definite layer, Continue to divide and help in organ function, Never divide"
1905,Vesicles of thyroid gland is composed of :,structural organisation in animals ,Simple cuboidal epithelium,"Simple squamous epithelium, Simple cuboidal epithelium, Stratified squamous epithelium, Stratified cuboidal epithelium"
1906,Which of the following is not an endocrine gland ?,structural organisation in animals ,Salivary,"Thyroid, Thymus, Adrenal, Salivary"
1907,Characteristic of epithelial tissues is :,structural organisation in animals ,Cells can undergo rapid divisions,"Never produce glands, Cells can undergo rapid divisions, Abundant vascularisation, Large intercellular spaces"
1908,"Which of the following characteristic is typical for all kinds of compound epithelia ? 
 a. Presence of basement membrane 
 b. Presence of germinativum layer of columnar cells
 c. Multilayer of cells 
 d. Basal layer of squamous cells",structural organisation in animals ,c only,"b & c, c only, a, b & c, a & c"
1909,Select the correct matching :,structural organisation in animals ,Columnar epithelium - Stomach,"Cuboidal epithelium - Alveolar wall, Columnar epithelium - Stomach, Ciliated epithelium - Intestine, Squamous epithelium - Germinal epithelium"
1910,"Assertion (A) : Gap junctions connect the cytoplasm of adjoining cells.
 Reason (R) : Gap junctions facilitate the cells to communicate with each other",structural organisation in animals ,Both A and R are true but R is not correct explanation of A,"Both A and R are true and R is the correct explanation of A., Both A and R are true but R is not correct explanation of A, A is true but R is false, A and R are false"
1911,The major protein of the connective tissues is :,structural organisation in animals ,Collagen,"Keratin, Collagen, Melanin, Myosin"
1912,Inter vertebral discs are composed of :,structural organisation in animals ,White fibrous cartilage,"Hyaline cartilage, Elastic cartilage, White fibrous cartilage, Calcified cartilage"
1913,Haversian canal contain :,structural organisation in animals ,Blood vessels and nerves,"Blood vessels and nerves, Blood vessels only, Lymphatic only, Connective tissue only"
1914,Fibroblast secretes :,structural organisation in animals ,Both A and B,"Matrix, Fibres, Both A and B, Cells"
1915,Mast cell secrete :,structural organisation in animals ,All of the above,"Anticoagulant : Heparin, Vasodilator : Histamine, Vasoconstrictor : Serotonin, All of the above"
1916,Epiglottis is composed of :,structural organisation in animals ,Elastic cartilage,"Hyaline cartilage, White fibro cartilage, Calcified cartilage, Elastic cartilage"
1917,All the following cells produces collagen except :,structural organisation in animals ,Mast cells,"Osteoblast, Chondroblast, Fibro blast, Mast cells"
1918,Matrix of cartilage is produced by :,structural organisation in animals ,Chondroblasts,"Chondrocytes, Chondroblasts, Osteocytes, Histiocytes"
1919,Which of following lacks blood supply ?,structural organisation in animals ,Cartilage,"Bone, Cartilage, Connective tissue, All"
1920,Sprain of body is due to pulling of :,structural organisation in animals ,Ligaments,"Muscles, Ligaments, Tendon, Nerves"
1921,Protein present in cartilage is :,structural organisation in animals ,Chondrin,"Fibroin, Chondrin, Ossein, Casein"
1922,Ligament connects :,structural organisation in animals ,Bone to bone,"Muscle to skin, Bone to bone, Muscle to muscle, Muscle to bone"
1923,Scavanger cell of connective tissue proper is called as :,structural organisation in animals ,Macrophages,"Fibroblast cell, Mast cell, Plasma cell, Macrophages"
1924,Cartilage is present in :,structural organisation in animals ,Between adjacent bones of vertebral column and limbs,"Between adjacent bones of vertebral column and limbs, In middle of the long bone, Bone marrow cavity, All of the above"
1925,Regeneration of cartilage can occur from its :,structural organisation in animals ,Perichondrium,"Matrix, Plasma, Perichondrium, A piece without perichondrium"
1926,What will happen if ligaments are cut or broken ?,structural organisation in animals ,Bones will become unfixed,"Bones will move freely at joints, No movement at joint, Bones will become unfixed, Bones will become fixed"
1927,The central shaft of a long bone is known as :,structural organisation in animals ,Diaphysis,"Diaphysis, Epiphysis, Metaphysis, Zygapophysis"
1928,Haversian system is a diagnostic feature of :,structural organisation in animals ,Mammalian bones,"Avian bones, All animals, Mammalian bones, Reptilian bones"
1929,Cartilage is formed by :,structural organisation in animals ,Chondroblasts,"Osteoblasts, Fibroblasts, Chondroclasts, Chondroblasts"
1930,The membrane that covers cartilage is known as :,structural organisation in animals ,Perichondrium,"Periosteum, Perichondrium, Perineurium, Pericardium"
1931,External ear (pinna) is a flexible structure composed of :,structural organisation in animals ,Cartilage,"Bone, Cartilage, Tendon, Ligament"
1932,Formation of cartilage is known as :,structural organisation in animals ,Chondrogenesis,"Diapedesis, Chondrogenesis, Haemopoiesis, Ossification"
1933,Role of bone marrow in mammals is to :,structural organisation in animals ,Act as haemopoietic tissue,"Assist kidneys, Act as haemopoietic tissue, Assist liver, Control blood pressure"
1934,Hyaline cartilage forms :,structural organisation in animals ,Tracheal rings,"Tracheal rings, Pubic symphysis, Epiglottis, External ear pinna"
1935,Bone forming cells are known as :,structural organisation in animals ,Osteoblasts,"Chondroclasts, Osteoblasts, Chondroblasts, Osteoclasts"
1936,Cardiac muscle fibres are :,structural organisation in animals ,Striated and involuntary,"Striated and involuntary, Striated and voluntary, Non–striated and involuntary, Non–striated and voluntary"
1937,"Which one of the following muscles, gets fatigued very quickly?",structural organisation in animals ,Skeletal muscle,"Skeletal muscle, Smooth muscle, Cardiac muscle, All of the above"
1938,Involuntary muscles are :,structural organisation in animals ,Both (B) and (C),"Under the control of will, Not under the control of animal's will, Controlled by autonomic nervous system, Both (B) and (C)"
1939,Unstriped muscles are also known as :,structural organisation in animals ,All of these,"Visceral muscles, Smooth muscles, Involuntary muscles, All of these"
1940,Nodes of Ranvier are found in :,structural organisation in animals ,Axon,"Cyton, Dendrons, Axon, Astrocyte"
1941,Which cell-organelle is absent in neurons ?,structural organisation in animals ,Centriole,"Mitochondria, Ribosome, Centriole, Nucleus"
1942,Select the incorrect statement about nerve fibres :,structural organisation in animals ,Myelin sheath is continuous at the Node of Ranvier,"The dendrite carries impulse towards the cyton, Neurons and muscle fibres are excitable cells, Nissl's granules are absent in axon, Myelin sheath is continuous at the Node of Ranvier"
1943,The nerve cell can be distinguished from other cells of the body by the presence of :,structural organisation in animals ,Axon & dendrites,"Nucleus, Plasma membrane, Mitochondria, Axon & dendrites"
1944,The functional connection between two neurons is called:,structural organisation in animals ,Synapse,"Synapse, Synapsis, Chiasma, Chiasmata"
1945,Which of the following is a non–excitable cell ?,structural organisation in animals ,Astrocyte,"Neuron, Smooth muscle cell, Astrocyte, Skeletal muscle cell"
1946,In non–myelinated nerve fibre of PNS :,structural organisation in animals ,Myelin sheath is absent,"Myelin sheath is absent, Schwann cell is absent, Both (A) & (B) are absent, Axon is absent"
1947,Which of the following cell can't be grown by tissue culture ?,structural organisation in animals ,Neuron,"Epithelial cell, Fibroblast, Monocyte, Neuron"
1948,Which one of the following types of cell is involved in making of the inner walls of blood vessels?,structural organisation in animals ,Squamous epithelium,"Cuboidal epithelium, Columnar epithelium, Squamous epithelium, Stratified epithelium"
1949,To which one of the following categories does adipose tissue belong?,structural organisation in animals ,Connective,"Epithelial, Connective, Muscular, Neural"
1950,Which one of the following is not a connective tissue?,structural organisation in animals ,Muscles,"Bone, Cartilage, Blood, Muscles"
1951,"Match the following and choose the correct option
  Column I     Column II
 A. Adipose tissue   i. Nose
 B. Stratified epithelium   ii. Blood
 C. Hyaline cartilage   iii. Skin
 D. Fluid connective tissue  iv. Fat storage
 Options:",structural organisation in animals ,"A-iv, B-iii, C-i, D-ii","A-i, B-ii, C-iii, D-iv, A-iv, B-iii, C-i, D-ii, A-iii, B-i, C-iv, D-ii, A-ii, B-i, C-iv, D-iii"
1952,A muscle fibre tapers at ends and does not show striations is :,structural organisation in animals ,Smooth muscle fibre,"Smooth muscle fibre, Skeletal muscle fibre, Cardiac muscle fibre, Striated muscle fibre"
1953,Structural organisation in animals attains different levels as cell–organ–organ system. What is missing in this chain ?,structural organisation in animals ,Tissue,"Molecule, Tissue, Atom, Organism"
1954,Which is not a common property of a muscle fibre and a nerve fibre ?,structural organisation in animals ,Contracitility,"Excitability, Conductivity, Both (1) & (2), Contracitility"
1955,Mark the odd one :,structural organisation in animals ,Neuron,"Areolar tissue, Blood, Neuron, Tendon"
1956,Mark the odd one :,structural organisation in animals ,Cartilage,"RBC, WBC, Platelets, Cartilage"
1957,Mark the odd one :,structural organisation in animals ,Ligament,"Exocrine, Endocrine, Salivary gland, Ligament"
1958,Mark the incorrect match :,structural organisation in animals ,Fibroblasts   –  Blood,"Compound epithelium  – Skin, Osteocytes –  Bone, Fibroblasts   –  Blood, Chondrocytes –  Cartilage"
1959,Many years old 'mummies' still have their arteries intact due to well preserved :,structural organisation in animals ,Elastic fibres,"Collagen fibres, Elastic fibres, Reticulin fibres, Tunica intima"
1960,"Bone is a solid, rigid connective tissue. If the bone is put into KOH, then the bone will :",structural organisation in animals ,Remain unchanged,"Become decalcified, Become soft, Become flexible, Remain unchanged"
1961,Neurons which connect the central nervous system to the receptors are :,structural organisation in animals ,Sensory neurons,"Sensory neurons, Motor neurons, Interneurons, Both (B) & (C)"
1962,Which type of neuron dominates in the CNS ?,structural organisation in animals ,Interneurons,"Sensory, Motor, Efferent, Interneurons"
1963,Mark the connective tissue which is without fibres and matrix is not secreted by its cellular component :,structural organisation in animals ,Blood,"Areolar tissue, Adipose tissue, Blood, Cartilage"
1964,The percentage of inorganic and organic parts in the matrix of a bone is,structural organisation in animals ,"70% inorganic, 30% organic","40% inorganic, 60% organic, 62% inorganic, 38% organic, 70% inorganic, 30% organic, 85% inorganic, 15% organic"
